r1: 1.088867169236457, angle1: 171.44931215446618, angle2: 168.56484743112634, length: 9.665196780801974
r1: 1.0914410822747211, angle1: 172.4167729663273, angle2: 166.64800502146383, length: 9.6334444159496
r1: 1.093725990192891, angle1: 173.37542054395658, angle2: 164.72250890353425, length: 9.598399506880417
r1: 1.095720743881308, angle1: 174.32556647670526, angle2: 162.78866872286525, length: 9.560110472521782
r1: 1.0974237209809496, angle1: 175.26751241625064, angle2: 160.84678421869305, length: 9.518622194651996
r1: 1.0988328150033235, angle1: 176.2015499373632, angle2: 158.89714508409932, length: 9.473975992580476
r1: 1.0999454232138959, angle1: 177.12796029371918, angle2: 156.9400307212117, length: 9.426209589253645
r1: 1.1007584332360476, angle1: 178.0470140642425, angle2: 154.97570988694383, length: 9.375357068501943
r1: 1.1012682083309362, angle1: 178.95897068373768, angle2: 153.00444022304353, length: 9.321448823117942
r1: 1.1014705713073072, angle1: 179.8640778497576, angle2: 151.02646766238854, length: 9.264511493431456
r1: 1.1013607870143622, angle1: 180.76257079563445, angle2: 149.04202570146634, length: 9.204567896023924
r1: 1.1009335433703973, angle1: 181.65467141741703, angle2: 147.0513345267484, length: 9.141636942203148
r1: 1.1001829308802218, angle1: 182.54058723986802, angle2: 145.05459998017363, length: 9.075733545838474
r1: 1.0991024205955835, angle1: 183.4205102039599, angle2: 143.0520123461174, length: 9.006868520142786
r1: 1.0976848404752055, angle1: 184.29461525495643, angle2: 141.04374493896333, length: 8.935048462974278
r1: 1.0959223501048931, angle1: 185.1630587064372, angle2: 139.02995246663454, length: 8.86027563022626
r1: 1.0938064137439159, angle1: 186.02597635123917, angle2: 137.010769141049, length: 8.782547796875615
r1: 1.0913277716719878, angle1: 186.88348128512837, angle2: 134.986306501318, length: 8.70185810527271
r1: 1.0884764098222952, angle1: 187.73566140295364, angle2: 132.95665090943706, length: 8.618194900281539
r1: 1.0852415277009562, angle1: 188.5825765198232, angle2: 130.92186067101025, length: 8.531541550921055
r1: 1.081611504613038, angle1: 189.42425506125775, angle2: 128.88196272496137, length: 8.44187625822292
r1: 1.077573864241094, angle1: 190.26069025597513, angle2: 126.83694883588637, length: 8.349171849112453
r1: 1.0731152376557518, angle1: 191.09183575256287, angle2: 124.78677121030377, length: 8.253395556246685
r1: 1.068221324881305, angle1: 191.91760056629641, angle2: 122.73133744306001, length: 8.154508783915759
r1: 1.062876855195212, angle1: 192.73784324412372, angle2: 120.67050468191029, length: 8.052466860344099
r1: 1.0570655464124705, angle1: 193.5523651135734, angle2: 118.6040728760323, length: 7.947218777032827
r1: 1.050770063498507, angle1: 194.3609024540205, angle2: 116.53177694690602, length: 7.838706916185308
r1: 1.043971976973571, angle1: 195.16311739506617, angle2: 114.45327768631493, length: 7.726866767782461
r1: 1.0366517217254656, angle1: 195.95858730505586, angle2: 112.36815114449945, length: 7.611626638559019
r1: 1.0287885570463013, angle1: 196.74679238083206, angle2: 110.27587621954129, length: 7.492907356025702
r1: 1.0203605289664828, angle1: 197.52710108478794, angle2: 108.17582009407067, length: 7.370621971847042
r1: 1.0113444362943, angle1: 198.29875299356618, angle2: 106.0672210836169, length: 7.24467547040861
r1: 1.0017158022068726, angle1: 199.06083851934102, angle2: 103.94916835755284, length: 7.114964490400915
r1: 0.9914488538121844, angle1: 199.81227483319478, angle2: 101.82057786214118, length: 6.98137706986728
r1: 0.9805165128587833, angle1: 200.5517771520565, angle2: 99.68016360714904, length: 6.8437924286165455
r1: 0.9688904017735888, angle1: 201.27782433461772, angle2: 97.52640326144785, length: 6.702080806476109
r1: 0.9565408705479721, angle1: 201.9886174522584, angle2: 95.35749672362965, length: 6.556103381949585
r1: 0.9434370517924415, angle1: 202.68202963765228, angle2: 93.17131597030863, length: 6.405712303995329
r1: 0.9295469537166606, angle1: 203.35554503840532, angle2: 90.96534400946398, length: 6.25075088062354
r1: 0.9148376041147567, angle1: 204.0061840778163, angle2: 88.73660014090032, length: 6.091053982903561
r1: 0.8992752630059243, angle1: 204.63041139781657, angle2: 86.48154789893103, length: 5.926448743317849
r1: 0.8828257279216472, angle1: 205.22402176004897, angle2: 84.19598095314483, length: 5.7567556554158745
r1: 0.8654547647072982, angle1: 205.78199771364444, angle2: 81.87488077592937, length: 5.581790220586443
r1: 0.8471287092560865, angle1: 206.298330873965, angle2: 79.51223792094294, length: 5.401365342177554
r1: 0.827815303508, angle1: 206.76579602322326, angle2: 77.10082612347293, length: 5.21529474397063
r1: 0.8074848548805145, angle1: 207.17566372046892, angle2: 74.63191491016647, length: 5.023397799304934
r1: 0.7861118459233645, angle1: 207.51733242530074, angle2: 72.09490172249207, length: 4.825506313955993
r1: 0.763677176313403, angle1: 207.77785500799138, angle2: 69.47683842661827, length: 4.621474032483381
r1: 0.7401713013446253, angle1: 207.9413267297627, angle2: 66.76181929344986, length: 4.411189967043257
r1: 0.7155986535091212, angle1: 207.988092473699, angle2: 63.930188229304555, length: 4.194597127283774
